"Data Source: Machine readable data of tables in the pager: 日本測地系における離島位置の補正量 - https://www.jstage.jst.go.jp/article/sokuchi1954/49/3/49_3_181/_article/-char/ja/
GitHub: shuuji3/correction-vectors-for-island-positions-in-tokyo-datum - https://github.com/shuuji3/correction-vectors-for-island-positions-in-tokyo-datum",,,,,
ID,Island name,Average correction amount lat [s],Average correction amount lng [s],std. dev. lat [s],std. dev. lng [s]
1,礼文島,0.171,0.231,0.006,0.005
2,利尻島,0.161,0.245,0.004,0.005
3,焼尻島,0.133,0.229,,
4,天売島,0.134,0.239,,
5,奧尻島,0.048,0.116,0.001,0.001
6,渡島大島,0.055,0.146,,
7,松前小島,0.037,0.128,,
8,飛島,-0.012,0.073,,
9,粟島,-0.011,0.045,,
10,佐渡島,-0.025,0.094,0.002,0.003
11,舳倉島,-0.050,0.120,,
12,隱岐諸島,0.124,0.104,0.004,0.004
13,見島,0.130,0.080,,
14,大島,0.032,-0.030,0.001,0.001
15,利島,0.088,-0.063,,
16,鵜渡根島,0.106,-0.065,,
17,対馬島,0.128,0.010,0.008,0.013
18,新島,0.123,-0.052,0.008,0.004
19,式根島,0.122,-0.055,,
20,神津島,0.093,-0.058,0.001,0.003
21,恩馳島,0.098,-0.045,,
22,三宅島,0.056,-0.010,0.001,0.001
23,御蔵島,0.156,-0.097,0.001,0.003
24,壱岐島,0.098,0.018,0.004,0.005
25,八丈島,0.378,-0.059,0.004,0.003
26,五島列島,0.049,-0.017,0.016,0.017
27,青ヶ島,2.440,0.139,,
28,男女群島,0.027,-0.097,,
29,甑島列島,-0.027,0.062,0.010,0.004
30,宇治群島,-0.052,0.076,,
31,草垣群島,-0.073,0.088,,
32,黒島,-0.050,0.103,,
33,"竹島,硫黄島",-0.059,0.108,,
34,種子島,-0.026,-0.164,0.010,0.010
35,口永良部島,-0.066,0.131,,
36,屋久島,-0.056,0.147,0.010,0.009
37,"口之島,中之島,平島,諏訪之瀬島,臥蛇島,小臥蛇島",-0.111,0.147,,
38,悪石島,-0.125,0.157,,
39,"宝島,小宝島",-0.154,0.166,,
40,"奄美大島,徳之島,喜界島",-0.228,0.222,0.039,0.013
41,沖永良部島,-0.290,0.242,0.000,0.001
42,伊平屋島,-0.347,0.255,0.002,0.002
43,与論島,-0.317,0.262,0.004,0.004
44,"聟島列島,父島列島, 母島列島",-0.021,-0.011,,
45,伊是名島,-0.347,0.264,0.001,0.001
46,粟國島,-0.399,0.271,,
47,沖縄本島,-0.360,0.296,0.018,0.011
48,渡名喜島,-0.406,0.279,,
49,久米島,-0.427,0.278,0.003,0.006
50,慶良間列島,-0.407,0.295,0.001,0.002
51,"北大東島,南大東島",-12.077,18.830,,
52,宮古諸島,-1.839,2.410,0.005,0.003
53,硫黄島,-25.254,5.660,0.089,0.044
54,"多良間島,水納島",-9.152,17.206,0.001,0.003
55,与那国島,4.788,7.085,,
56,"石垣島,竹富島",4.714,7.266,0.014,0.030
57,西表島,-0.264,0.408,0.013,0.016
